anzsco_code,occupation_name,automation_score,augmentation_score,automation_level,augmentation_level,explanation,data_source
1333,"Importers, Exporters and Wholesalers",0.52,0.73,Medium,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1334,Manufacturers,0.47,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1335,Production Managers,0.42,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1336,"Supply, Distribution and Procurement Managers",0.53,0.74,Medium,High,JSA rates this role with 74% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1341,Child Care Centre Managers,0.31,0.65,Low,Medium,"JSA rates this role with 65% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1342,Health and Welfare Services Managers,0.32,0.69,Low,Medium,"JSA rates this role with 69% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1343,School Principals,0.32,0.66,Low,Medium,"JSA rates this role with 66% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1344,Other Education Managers,0.43,0.74,Low,High,JSA rates this role with 74% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1351,ICT Managers,0.38,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1391,Commissioned Officers (Management),0.41,0.73,Low,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1392,Senior Non-Commissioned Defence Force Officers,0.23,0.47,Very Low,Low,JSA rates this role with 47% AI augmentation exposure. Limited AI impact expected — skills in this area are likely to remain in demand.,"JSA Generative AI Capacity Study, 2025"
1399,Other Specialist Managers,0.36,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1411,Cafe and Restaurant Managers,0.43,0.69,Low,Medium,"JSA rates this role with 69% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1412,Caravan Park and Camping Ground Managers,0.43,0.65,Low,Medium,"JSA rates this role with 65% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1413,Hotel and Motel Managers,0.46,0.69,Low,Medium,"JSA rates this role with 69% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
1414,Licensed Club Managers,0.42,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1419,Other Accommodation and Hospitality Managers,0.3,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1421,Retail Managers,0.48,0.73,Low,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1491,"Amusement, Fitness and Sports Centre Managers",0.44,0.73,Low,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1492,"Call, Contact Centre and Customer Service Managers",0.53,0.71,Medium,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1493,Conference and Event Organisers,0.53,0.73,Medium,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1494,Transport Services Managers,0.46,0.73,Low,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
1499,"Other Hospitality, Retail and Service Managers",0.38,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2111,"Actors, Dancers and Other Entertainers",0.24,0.58,Very Low,Medium,"JSA rates this role with 57% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2112,Music Professionals,0.23,0.62,Very Low,Medium,"JSA rates this role with 62% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2113,Photographers,0.24,0.61,Very Low,Medium,"JSA rates this role with 61% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2114,Visual Arts and Crafts Professionals,0.16,0.57,Very Low,Medium,"JSA rates this role with 56% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2121,"Artistic Directors, Media Producers and Presenters",0.41,0.68,Low,Medium,"JSA rates this role with 68% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2122,"Authors, and Book and Script Editors",0.54,0.69,Medium,Medium,"JSA rates this role with 69% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2123,"Film, Television, Radio and Stage Directors",0.36,0.69,Low,Medium,"JSA rates this role with 69% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2124,Journalists and Other Writers,0.61,0.7,Medium,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2211,Accountants,0.54,0.73,Medium,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2212,"Auditors, Company Secretaries and Corporate Treasurers",0.45,0.74,Low,High,JSA rates this role with 74% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2221,Financial Brokers,0.47,0.75,Low,High,JSA rates this role with 75% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2222,Financial Dealers,0.69,0.77,Medium,High,JSA rates this role with 77% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2223,Financial Investment Advisers and Managers,0.48,0.74,Low,High,JSA rates this role with 74% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2231,Human Resource Professionals,0.51,0.68,Medium,Medium,"JSA rates this role with 68% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2232,ICT Trainers,0.58,0.75,Medium,High,JSA rates this role with 75% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2233,Training and Development Professionals,0.57,0.76,Medium,High,JSA rates this role with 76% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2241,"Actuaries, Mathematicians and Statisticians",0.58,0.77,Medium,High,JSA rates this role with 77% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2242,"Archivists, Curators and Records Managers",0.5,0.7,Medium,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2243,Economists,0.59,0.78,Medium,High,JSA rates this role with 78% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2244,Intelligence and Policy Analysts,0.56,0.79,Medium,High,JSA rates this role with 79% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2245,Land Economists and Valuers,0.43,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2246,Librarians,0.52,0.7,Medium,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2247,Management and Organisation Analysts,0.53,0.73,Medium,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2249,Other Information and Organisation Professionals,0.4,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2251,Advertising and Marketing Professionals,0.54,0.79,Medium,High,JSA rates this role with 79% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2252,ICT Sales Professionals,0.58,0.72,Medium,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2253,Public Relations Professionals,0.46,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2254,Technical Sales Representatives,0.64,0.71,Medium,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2311,Air Transport Professionals,0.31,0.6,Low,Medium,"JSA rates this role with 60% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2312,Marine Transport Professionals,0.26,0.63,Low,Medium,"JSA rates this role with 63% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2321,Architects and Landscape Architects,0.46,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2322,Surveyors and Spatial Scientists,0.4,0.76,Low,High,JSA rates this role with 76% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2323,"Fashion, Industrial and Jewellery Designers",0.39,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2324,"Graphic and Web Designers, and Illustrators",0.49,0.64,Low,Medium,"JSA rates this role with 64% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2325,Interior Designers,0.43,0.73,Low,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2326,Urban and Regional Planners,0.45,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2331,Chemical and Materials Engineers,0.31,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2332,Civil Engineering Professionals,0.33,0.74,Low,High,JSA rates this role with 74% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2333,Electrical Engineers,0.33,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2334,Electronics Engineers,0.34,0.76,Low,High,JSA rates this role with 76% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2335,"Industrial, Mechanical and Production Engineers",0.37,0.73,Low,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2336,Mining Engineers,0.33,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2339,Other Engineering Professionals,0.33,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2341,Agricultural and Forestry Scientists,0.36,0.75,Low,High,JSA rates this role with 75% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2342,"Chemists, and Food and Wine Scientists",0.33,0.74,Low,High,JSA rates this role with 74% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2343,Environmental Scientists,0.32,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2344,"Geologists, Geophysicists and Hydrogeologists",0.33,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2345,Life Scientists,0.3,0.74,Low,High,JSA rates this role with 74% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2346,Medical Laboratory Scientists,0.34,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2347,Veterinarians,0.22,0.6,Very Low,Medium,"JSA rates this role with 60% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2349,Other Natural and Physical Science Professionals,0.33,0.75,Low,High,JSA rates this role with 75% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2411,Early Childhood (Pre-primary School) Teachers,0.27,0.64,Low,Medium,"JSA rates this role with 64% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2412,Primary School Teachers,0.32,0.63,Low,Medium,"JSA rates this role with 63% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2413,Middle School Teachers,0.34,0.6,Low,Medium,"JSA rates this role with 60% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2414,Secondary School Teachers,0.35,0.6,Low,Medium,"JSA rates this role with 60% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2415,Special Education Teachers,0.36,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2421,University Lecturers and Tutors,0.43,0.68,Low,Medium,"JSA rates this role with 68% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2422,Vocational Education Teachers,0.48,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2491,Education Advisers and Reviewers,0.39,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2492,Private Tutors and Teachers,0.51,0.73,Medium,High,JSA rates this role with 73% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2493,Teachers of English to Speakers of Other Languages,0.56,0.74,Medium,High,JSA rates this role with 74% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2511,Nutrition Professionals,0.4,0.76,Low,High,JSA rates this role with 76% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2512,Medical Imaging Professionals,0.3,0.61,Low,Medium,"JSA rates this role with 61% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2513,Occupational and Environmental Health Professionals,0.36,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2514,Optometrists and Orthoptists,0.23,0.68,Very Low,Medium,"JSA rates this role with 68% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2515,Pharmacists,0.32,0.68,Low,Medium,"JSA rates this role with 68% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2519,Other Health Diagnostic and Promotion Professionals,0.3,0.65,Low,Medium,"JSA rates this role with 65% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2521,Chiropractors and Osteopaths,0.33,0.66,Low,Medium,"JSA rates this role with 66% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2522,Complementary Health Therapists,0.28,0.64,Low,Medium,"JSA rates this role with 64% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2523,Dental Practitioners,0.19,0.66,Very Low,Medium,"JSA rates this role with 66% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2524,Occupational Therapists,0.3,0.66,Low,Medium,"JSA rates this role with 66% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2525,Physiotherapists,0.3,0.67,Low,Medium,"JSA rates this role with 67% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2526,Podiatrists,0.24,0.6,Very Low,Medium,"JSA rates this role with 60% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2527,Audiologists and Speech Pathologists \ Therapists,0.3,0.69,Low,Medium,"JSA rates this role with 69% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2531,General Practitioners and Resident Medical Officers,0.34,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2532,Anaesthetists,0.2,0.63,Very Low,Medium,"JSA rates this role with 63% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2533,Specialist Physicians,0.3,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2534,Psychiatrists,0.25,0.61,Low,Medium,"JSA rates this role with 61% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2535,Surgeons,0.28,0.64,Low,Medium,"JSA rates this role with 64% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2539,Other Medical Practitioners,0.2,0.7,Very Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2541,Midwives,0.3,0.67,Low,Medium,"JSA rates this role with 67% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2542,Nurse Educators and Researchers,0.36,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2543,Nurse Managers,0.28,0.68,Low,Medium,"JSA rates this role with 68% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2544,Registered Nurses,0.3,0.67,Low,Medium,"JSA rates this role with 67% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2611,ICT Business and Systems Analysts,0.58,0.77,Medium,High,JSA rates this role with 77% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2612,Multimedia Specialists and Web Developers,0.44,0.76,Low,High,JSA rates this role with 76% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2613,Software and Applications Programmers,0.63,0.77,Medium,High,JSA rates this role with 77% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2621,"Database and Systems Administrators, and ICT Security Specialists",0.48,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2631,Computer Network Professionals,0.45,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2632,ICT Support and Test Engineers,0.57,0.75,Medium,High,JSA rates this role with 75% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2633,Telecommunications Engineering Professionals,0.41,0.72,Low,High,JSA rates this role with 72% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2711,Barristers,0.43,0.65,Low,Medium,"JSA rates this role with 65% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2712,Judicial and Other Legal Professionals,0.34,0.58,Low,Medium,"JSA rates this role with 57% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2713,Solicitors,0.34,0.61,Low,Medium,"JSA rates this role with 61% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2721,Counsellors,0.37,0.67,Low,Medium,"JSA rates this role with 67% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2722,Ministers of Religion,0.31,0.54,Low,Medium,"JSA rates this role with 54% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2723,Psychologists and Psychotherapists,0.43,0.69,Low,Medium,"JSA rates this role with 69% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
2724,Social Professionals,0.47,0.71,Low,High,JSA rates this role with 71% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2725,Social Workers,0.33,0.7,Low,High,JSA rates this role with 70% AI augmentation exposure — tasks are highly likely to be reshaped by AI tools. Consider building skills that complement AI.,"JSA Generative AI Capacity Study, 2025"
2726,"Welfare, Recreation and Community Arts Workers",0.39,0.67,Low,Medium,"JSA rates this role with 67% AI augmentation exposure. Some tasks may be assisted by AI, but human judgment stays central.","JSA Generative AI Capacity Study, 2025"
